"PID","Title","Keywords","Content"
"680998","2D Mapping Solutionsfor Low Cost Mobile Robot","[]","
Mapping, localization, and path-planning are three fundamental problems of robotic.


Robot needs a map to perform actions like path-planning. When positioning system is


not available, the map is also used for localization. A lot of researches have been done


in this area. And newly emerging ranging sensors, like Kinect and TOF camera, have


widen people’s choices and greatly enhanced innovative ideas in robot mapping. The


price of these sensors is not very high and the performance is decent, which makes low


cost, high performance mobile robot solution possible.


In this thesis, different existing state of the art mapping methods are studied. Based on


literature studies, different ranging sensors for mapping are evaluated. And by using the


3D ranging sensor, three mapping methods are implemented. Occupancy grid map with


scan matching, feature-grid hybrid map with map pruning and simple points map with


ICP algorithm. Basic potential field path-planning is also implemented.


The experiment results illustrate the performance of each method.

"
"1903661","3D Scene Reconstruction using Diffusion Models : Expanding the application domain of Diffusion Models (Diffusion Modeller för Rekonstruktion av 3D omgivningar : En utökning av applikationsdomänen för Diffusion Modeller)","['computer vision', '3d reconstruction', 'text-to-3d', 'gaussian splatting', 'diffusion models', 'deep learning', 'datorseende', 'gaussian splatting', 'diffusion modeller']","
state of the art text-to-image diffusion models has found success in generating images of high quality, however equivalent text-to-3d diffusion models does not perform as well due to the lack of training data and increased spatial complexity. recent advancements has therefore utilized text-to-image diffusion models for 3d object generation through methods such as score distillation sampling and variational score distillation. in this project we leverage the 3d generation capabilities of text-to-image diffusion models with the goal of re-constructing 3d environments using a ground truth image and a input point cloud. this approach merges the problem formulation of 3d object generation and semantic scene completion, to create a complex task which had not previously been considered.


the re-construction of 3d scenes has many possible applications such as the generation of synthetic training data and the creation of 3d environments for use in computer applications. the proposed 3d scene reconstruction pipeline consists of score distillation sampling and variational distillation sampling using the text-to-image diffusion model stable diffusion. the main insight is that preserving the semantic and geometric information of the scene is crucial for satisfactory results. stable diffusion was therefore conditioned using pre-trained controlnet models.


the resulting 3d scene reconstruction pipeline is shown to be capable of texturing the scene, while preserving the semantic information. a failure mode is also explored, where the pipeline fails to properly texture a scene with incomplete geometry. the proposed pipeline serves as a proof of concept that it is possible to reconstruct scenes from a reference image and a point cloud. however, the implementation was found to be incapable of creating realistic texturing and completing the geometry of the scene, among other issues. these issues are identified, discussed and proposed as the foundation of future work.

"
"1229779","3D Shape Detection for Augmented Reality (3D form-detektion för förstärkt verklighet)","['3d machine learning', 'computer vision', 'shape', 'point cloud']","
in previous work, 2d object recognition has shown exceptional results. however, it is not possible to sense the environment spatial information, where the objects are and what they are. having this knowledge could imply improvements in several fields like augmented reality by allowing virtual characters to interact more realistically with the environment and autonomous cars by being able to make better decisions knowing where the objects are in a 3d space.


the proposed work shows that it is possible to predict 3d bounding boxes with semantic labels for 3d object detection and a set of primitives for 3d shape recognition from multiple objects in a indoors scene using an algorithm that receives as input an rgb image and its 3d information. it uses deep neural networks with novel architectures for point cloud feature extraction. it uses a unique feature vector capable of representing the latent space of the object that models its shape, position, size and orientation for multi-task prediction trained end-to-end with unbalanced datasets. it runs in real time (5 frames per second) in a live video feed.


the method is evaluated in the nyu depth dataset v2 using average precision for object detection and 3d intersection over union and surface-to-surface distance for 3d shape. the results confirm that it is possible to use a shared feature vector for more than one prediction task and it generalizes for unseen objects during the training process achieving state-of-the-art results for 3d object detection and 3d shape prediction for the nyu depth dataset v2. qualitative results are shown in real particular captured data showing that there could be navigation in a real-world indoor environment and that there could be collisions between the animations and the detected objects improving the interaction character-environment in augmented reality applications.

"
"1888229","3D Shape Retrieval Meets Machine Learning : Improving Searchability of Industrial 3D Models Using CNN Autoencoder and k-NN","['3d shape retrieval', 'pattern recognition', 'machine learning', 'autoencoder', 'k-nn', '3d shape retrieval', 'pattern recognition', 'machine learning', 'autoenconder', 'k-nn']","
in the rapidly evolving realm of cad model retrieval, efficient 3d shape retrieval and reuse remains a challenge in some cad systems, causing increased design times and costs. this research sought to bridge this gap, investigating the efficacy of machine learning algorithms like 3d cnn autoencoding and k-nn clustering in enhancing cad model retrieval. following an applied research methodology a 3d shape retrieval tool (srt) prototype was developed. quantitative evaluation results showed a promising mean average precision (map) of 69%. qualitative evaluation results included feedback from three end-users underscoring the need for advanced filtering and seamless tool integration. the findings provide a foundation for future work, highlighting potential areas like dataset augmentation, incorporating natural language processing, or harnessing superior hardware for improved performance.

"
"1245296","3D YOLO: End-to-End 3D Object Detection Using Point Clouds (3D YOLO: Objektdetektering i 3D med LiDAR-data)","['computer vision', 'machine learning', 'autonomous vehicles', 'autonomous cars', 'lider', 'point cloud', 'deep learning', 'yolo']","
for safe and reliable driving, it is essential that an autonomous vehicle can accurately perceive the surrounding environment. modern sensor technologies used for perception, such as lidar and radar, deliver a large set of 3d measurement points known as a point cloud. there is a huge need to interpret the point cloud data to detect other road users, such as vehicles and pedestrians.


many research studies have proposed image-based models for 2d object detection. this thesis takes it a step further and aims to develop a lidar-based 3d object detection model that operates in real-time, with emphasis on autonomous driving scenarios. we propose 3d yolo, an extension of yolo (you only look once), which is one of the fastest state-of-the-art 2d object detectors for images. the proposed model takes point cloud data as input and outputs 3d bounding boxes with class scores in real-time. most of the existing 3d object detectors use hand-crafted features, while our model follows the end-to-end learning fashion, which removes manual feature engineering.


3d yolo pipeline consists of two networks: (a) feature learning network, an artificial neural network that transforms the input point cloud to a new feature space"
"839326","3D/2D Image Registration for Patient Positioning in Stereotactic Radiosurgery (3D/2D bildregistrering för patientpositionering i stereotaktisk strålkirurgi)","['3d/2d', 'image registration', 'radiosurgery']","
in the application of stereotactic radiosurgery for treatment of brain tumors it is imperative that patients are positioned with sub-millimetre accuracy so as to not damage surrounding healthy tissue during treatment.


we investigate how feasible the technique of digitally reconstructed radiographs is as a registration method for patient positioning in this type of high-accuracy application. in particular, since most registration methods based on said technique only rely on two simultaneous projection angles seldom reaching high enough accuracy, we consider any arbitrary amount and observe its effects on the registration accuracy. three different approaches are considered for how multiple projections can be combined into one single metric.


the results seem to indicate that although computed tomography yields accuracies well within the boundaries for stereotactic radiosurgery, cone beam computed tomography in its current state does not. possible reasons explaining the difference include problems with reconstruction artifacts in the model and inadequate metrics.

"
"1214481","4-qubit Grover's algorithm implemented for the ibmqx5 architecture (4-qubit Grovers algoritm implementerad för ibmqx5)","[]","
quantum computing is a quickly growing field of research thanks to recent hardware advances. the quantum mechanical properties of quantum computers allow them to solve certain families of problems faster than classical computers. a quantum algorithm solving such a problem is grover's algorithm, which finds an element in an unordered set faster than any classical search algorithm. in this paper an implementation of a 4-qubit grover's algorithm for the ibm q computer ibmqx5 is presented. executing the implementation on an ibmqx5 simulator yield results in line with the theoretically optimal results. the accuracy of the ibmqx5 simulation results compared to the ibmqx5 execution results suggests that current hardware is not yet suitable,due to required complexity of the circuits for a 4-qubit grover implementation.

"
"1713732","6G RF Waveform with AI for Human Presence Detection in Indoor Environments","['cnn', 'svm', 'dbscan', 'mimo', 'bandwidth', 'frequencies', 'human presence detection', 'cnn', 'svm', 'dbscan', 'mimo', 'bandbredd']","
wireless communication equipment is widely available and the number of transmitters and receivers keeps increasing. in addition to communications, wireless nodes can be used for sensing. this project is focuses on human presence detection in indoor environments using measurements such as csi that can be extracted from radio receivers and labeled using a camera and ai computer vision techniques (yolo framework). our goal is to understand if a room is empty or has one or two people by utilizing machine learning algorithms. we have selected svm (support vector machines) and cnn (convolutional neural networks). these methods will be evaluated in different scenarios such as different locations, bandwidths of 20, 40 and 120mhz, carrier frequencies of 2.4 and 5 ghz, high/low snr values as well as different antenna configurations (mimo, simo, siso). both methods perform very well for classification and specifically in case of cnn it performs better in low snr compared to svm. we found that some of the measurements seemed to be outliers and the clustering algorithm dbscan was used in order to identify them. last but not least, we explore whether the radio can complement computer vision in presence detection since radio waves may propagate through walls and opaque obstacles.

"
"814688","A benchmark of algorithms for the Professor’s Cube","[]","
rubik’s cube is a well known puzzle that has entertained for decades. this thesis studies two relatively new phenomenons"
"916505","A Case Study in Expo-Based Learning Applied to Information Visualization","['information visualization', ' augmented project based learning', ' large public demos']","
We present preliminary results of the effect of Expo-Based Learning (EBL) applied to a course on information visualization. We define EBL as project-based learning (PBL) augmented with constructively-aligned large public demos [RTP14]. In this paper, we analyze the results of challenging and grading enrolled students to compete and present their projects publicly at an open student competition organized by a second university. We surveyed the students at the end of the course before the competition started and the end of the competition. We present the result of the impact of the student competition as it relates to the intended learning outcomes from the perspective of the students.

"
