Author;ID;PIDs;Keywords
WANG, XUAN;fc93eac0-e633-48c6-bdfc-7eada05bcce5;680998;
Persson, Carl;a88cb4e6-b122-45ba-a4f4-1120a933d731;1903661;computer vision,3d reconstruction,text-to-3d,gaussian splatting,diffusion models,deep learning,datorseende,3d rekonstruktion,text-till-3d,gaussian splatting,diffusion modeller,djupinlärning
Anadon Leon, Hector;70884348-babb-465a-82b0-b20829901038;1229779;3d machine learning,object detection,computer vision,shape,point cloud
Hazara, Omid;8353d466-24ee-41ff-ab01-4ccedf20ce2c;1888229;3d shape retrieval,pattern recognition,machine learning,autoencoder,k-nn,3d shape retrieval,autoenconder,k-nn
Al Hakim, Ezeddin;1199;1245296,927344;computer vision,machine learning,autonomous vehicles,autonomous cars,lider,point cloud,deep learning,object detection,yolo
Hössjer, Simon;fcfc8edc-9a21-4b9b-845b-844a94999fc9;839326;3d/2d,image registration,radiosurgery
Strömberg, Philip;0;1214481;
Blomkvist Karlsson, Vera;1;1214481,1608961;clang,code generation,cuda,debugging,parallel computing,clang,kodgenerering,cuda,felsökning,parallella beräkningar
Stratigi, Eirini;f6ef33a5-a94c-4ed1-930f-b39d1c7c3ae9;1713732;cnn,svm,dbscan,mimo,bandwidth,frequencies,human presence detection,cnn,svm,dbscan,mimo,bandbredd,frekvenser,mänsklig närvaro detektering
Danielsson, Mattias;0af11e5d-dcbc-46f3-a671-3377b8831ca1;814688;
Romero, Mario;175;916505,916474,916472,916500,916470;information visualization,pedagogy,augmented project based learning,large public demos,interactive dance visualization,real-time interpolated animations,accelerometer,gyroscope,smartphones as wearables,activity shapes,human behavior,spatial analysis,spatiotemporal analysis,information visualization,embodied sculpting,user experience evaluation,haptic feedback,multimodal feedback,depth-sensor-based interaction,volume rendering,digital crafting,accessibility,text entry,blindness,mobile devices,touchscreens,multi-touch interaction,chording,gestures,touch evaluation.
Noroozi, Hamid;c8314a34-7875-489e-b67d-a72da1f540f1;1589979;security,privacy,vehicular pki,vpki,identity and credential management,vehicular communications,vanets,availability,scalability,resilient,efficiency,microservice,container orchestration,cloud,pseudonym transition,pseudonym unlinkability.,säkerhet,personlig integritet,identitet- och behörighetsuppgifter,tillgänglighet,skalbarhet,motståndskraftig,effektivitet,moln,pseudonymitet,anonymitet,ospårbarhet.
Wiklund, Victor;859;1500722,1215999;
Renman, Casper;2;810264;
Fristedt, Hampus;3;810264,1113057;deep learning,convolutional neural network,homography
Ishii, Shotaro;4;1597519;
Ljunggren, David;5;1597519;
Jalava, Vilma;0ea02dcb-09c4-4b37-a72b-e103577e600b;1599687;
Bogdanov, Daniil;70c6c5a3-1e92-43af-adbc-4ed2499425a4;813863,1180843;garment fit,machine learning,clustering,k-means,linear regression,support vector regression,e-commerce,online garment shopping
Bajallan, Rebwar;6;1465807;
Hashi, Burhan;7;1465807;
Fredrikson, Rasmus;8;929059,1246007;simulated annealing,genetic algorithm,university timetabling problem,cross-platform application,react native,progressive web application,pwa,ueq,android
Dahl, Jonas;9;929059,1241148;simulated annealing,genetic algorithm,university timetabling problem,sentiment analysis,machine learning,sentiments,ml,ai,neural networks,ann,artificial neural networks,convolutional neural network,cnn,language technology,natural language,news,titles,swedish,sentimentanalys,maskininlärning,sentiment,neuronnät,artificiella neuronnät,nyheter,nyhetsrubriker,språkteknologi
Taskin, Kasim;10;1214312,1466758;
Dinler, Mustafa;11;1214312;
Salman, Alzahraa;12;1212779;
Hanna, Rouwayd;13;1212779,1464463;
Andersson, Petter;14;1106836;d3 comparative server rendering client real-time visualization node
Wörlund, Robert;15;1106836;d3 comparative server rendering client real-time visualization node
Haglund, Isac;16;1464525;
Johansson, Lisa;17;1464525;
Alam, Joy;18;811673;artificial neural network,hybrid,comparative study
Ljungehed, Jesper;19;811673,1119205;artificial neural network,hybrid,comparative study,churn prediction,churn,prediction,recurrent neural network,rnn,customer lifetime value,clv
Besseling, Johan;20;1463840;
Renström, Anders;21;1463840;
Forsberg, Tom-Henrik;22;1105853;
Sundström, Johan;23;1105853;
Larsson, Mattias;24;929287,1231251;augmented reality,geographic information systems,global positioning system,user experience,mobile augmented reality
Kirichenko, Dan;25;929287;
Randleff, Veronica;26;927078,1231519;web app,native app,multi-criteria decision-making
Schwermer, Patrik;27;927078,1231573;java,kotlin,android,android runtime,art,clbg,computer language benchmarks game,runtime,performance,runtime,memory consumption,garbage collection,boxing of primitives,java,kotlin,android,android runtime,art,clbg,computer language benchmarks game,prestanda,körtid,minnesanvändning,garbage collection,boxing av primitiver
Streijffert, Nils;28;1464517;
Tegelmark, Frans;29;1464517;
Palacios Cuesta, Aitor;ba5b1011-7c56-47ab-b1a8-363a0dc7cecb;927145;
